#Open,High,Low,Volume,Close
30.99,31.73,30.799999,784500,30.99
30.940001,31.83,30.67,910500,31.49
31.540001,32.48,30.889999,758400,31.27
31.57,31.68,31.01,638600,31.51
31.290001,33.009998,30.799999,1125700,32.700001
32.970001,34.400002,32.830002,1304800,34.25
34.32,36,33.900002,1744000,35.959999
35,35.209999,32.380001,2569300,33.349998
31.42,33.669998,31.059999,2881900,32.150002
32.720001,33.150002,32.040001,1435900,32.27
32.07,32.25,31.25,1568500,31.790001
31.049999,31.299999,30.620001,1386800,30.66
30.66,31.040001,29.620001,1500300,29.84
29.92,29.98,28.75,2842200,28.950001
29.9,30,27.639999,2262300,28.129999
28.709999,29.66,28.1,1673000,29.51
29.51,30.25,27.209999,2065200,27.35
27.540001,27.969999,27.35,1575100,27.42
27.99,27.99,26.030001,1592300,26.25
26.84,26.85,25.52,1305100,26.1
26.9,27.549999,26.74,1209500,27.27
27.549999,28.700001,27.549999,1528200,28.27
28.77,30.9,28.5,2387200,30.25
29.9,30,28.59,1308900,29.09
29.52,30,29.129999,672600,29.41
29.309999,29.940001,29.309999,707400,29.940001
29.690001,31.299999,29.1,870100,31.17
30.75,31.17,29.26,793400,29.42
29.389999,29.700001,28.809999,525400,29.4
29.530001,30.389999,29.5,669000,30.299999
30.290001,30.709999,29.98,508200,30.01
30.15,30.389999,29.1,1179100,29.51
29.58,30,29,761600,29.110001
29.01,30.040001,29.01,775500,29.950001
30,30.85,29.65,1471000,30.73
30.059999,30.24,29.41,1429400,29.5
29.57,29.700001,28.17,1350400,28.32
28.4,29.379999,28,1402700,28.690001
28.49,28.639999,28.02,838900,28.41
28.6,28.74,28.1,656400,28.41
28.610001,28.84,28.200001,539800,28.52
28.52,28.99,27.9,752500,28.139999
28.01,28.5,27.809999,639300,27.940001
28,28.9,27.9,841700,28.549999
28.549999,29.57,28.5,953200,29.35
29.200001,29.35,27.299999,1483300,27.370001
27.76,28.16,27.4,1014900,27.799999
27.9,28.58,27.799999,1145200,28.280001
28.57,29.5,28.48,1484700,29.48
30,30.65,29.65,1536600,30.389999
32.349998,32.779999,31.51,3212800,32.540001
31.879999,31.9,30.68,1788500,31.34
31,31.74,30.940001,1048500,31.049999
30.93,31.5,30.68,912400,30.9
31.1,31.49,29.540001,1870000,30.02
29.51,31.030001,29.4,1301900,30.66
28.620001,29.48,27.530001,5680400,27.66
27.66,28.4,27.48,1527200,27.540001
27.82,28.540001,27.6,1758600,28.49
28.73,29.889999,28.610001,4343400,29.280001
29.5,29.889999,29,884400,29.16
29.280001,29.889999,29,729000,29.799999
29.75,29.950001,29.24,1052800,29.299999
30,30.1,28.65,1541300,29.4
29.700001,29.809999,28.68,938600,28.889999
28.860001,29.4,28.610001,889700,29.25
29.120001,29.120001,28.25,1193000,28.370001
28.389999,28.719999,28.01,503600,28.4
28.940001,28.98,28.25,450600,28.32
28.32,28.73,27.5,987600,27.639999
28.02,28.049999,26.860001,1468700,27.33
27.67,28.09,27.34,479300,28.059999
28.25,28.84,27.799999,668000,28.82
28.99,28.99,27.780001,741000,28.040001
27.83,28.200001,27.299999,1027400,27.74
27.99,28,27.360001,470200,27.85
27.379999,28.559999,27.370001,749000,28.389999
28.52,28.52,27.25,1016400,27.42
27.799999,27.799999,27.450001,577700,27.52
27.530001,27.799999,27.02,477400,27.379999
27.700001,28.35,27.370001,775200,28.129999
28.25,29.49,28.200001,1024100,29.25
29.27,29.549999,28.549999,1030300,28.92
29.799999,31.58,29.33,2048900,31.5
30.610001,31.200001,29.950001,2324000,31.15
31,32.049999,30.809999,1714500,31.540001
31.01,31.879999,30.940001,1274000,31.309999
30.6,30.93,29.85,863000,30.32
30.290001,31.42,30.16,555900,31.07
31.290001,32,30.719999,998300,31.610001
31.959999,32.119999,31.200001,871300,31.379999
31.299999,31.440001,30.5,984000,30.82
31.15,32,30.59,908700,31.84
32.07,33.25,31.84,1392400,32.919998
32.799999,33.099998,31.91,922500,33
32.610001,33.470001,32.290001,963200,32.470001
32.599998,32.830002,31.700001,430300,32.130001
32.099998,32.299999,31.620001,495800,32.27
32.130001,32.66,31.52,910800,32.150002
32,34.290001,31.91,1525200,33.23
33.439999,34,32.869999,1103400,33.689999
33.630001,34.279999,33.009998,1420300,33.82
33.889999,35,33.5,2085700,34.619999
34.080002,34.799999,33.549999,1263300,33.900002
33.82,34.189999,33.580002,661500,33.709999
33.82,34.799999,33.5,660400,33.900002
34.299999,34.490002,33.849998,664400,34.169998
34.43,34.799999,34.18,929800,34.57
34.599998,35.5,34.459999,1572600,35.279999
35.209999,35.799999,34.950001,2063800,35.259998
35.259998,35.299999,32.75,2151300,33.610001
33.779999,34.400002,33.59,1023000,33.810001
33.77,34.5,33.75,824900,34.400002
34.259998,35.07,34.259998,1553900,34.59
34.75,35.259998,34.52,1298800,34.610001
34.509998,34.790001,34.049999,921200,34.43
33.939999,34.169998,33.580002,1492400,34
33.639999,34.349998,33.549999,375800,34.279999
33.959999,34.5,33.5,601400,33.59
33.5,33.91,33,561100,33.689999
33.380001,33.650002,33.02,414100,33.220001
33,33.970001,33,594900,33.869999
35,35.450001,34.709999,1194800,35.360001
35.18,35.450001,34.75,742000,34.77
34.799999,34.799999,33.919998,674000,34.400002
34.799999,34.799999,33.900002,442000,34.34
34.5,34.5,33.110001,1284000,33.68
34.009998,34.189999,33.400002,698000,33.639999
33.869999,33.990002,33.380001,922500,33.529999
34.040001,34.040001,32.110001,1563200,32.91
33.080002,33.380001,32.849998,925100,33.259998
33.110001,34.25,33.080002,1624200,33.900002
33.849998,34.23,33.73,1378200,34.099998
34.16,34.849998,33.919998,1436700,34.380001
34.740002,34.779999,33.82,3555100,34.52
34.560001,35.549999,34.259998,1920200,35.189999
35.02,36.240002,34.959999,1564300,36
36,37.720001,35.84,1970400,36.990002
37,37.540001,36.799999,1287800,36.98
36.860001,38.709999,36.860001,1986000,38.029999
38.099998,38.439999,37.130001,1426600,37.950001
37.849998,38,37.43,968100,37.52
37.869999,37.869999,36.93,901400,37.509998
38.169998,38.5,37.619999,1100600,38.299999
38.400002,38.419998,37.59,1128000,37.740002
38,38.650002,37.68,1310200,38.130001
38.18,39.389999,37.900002,1893200,39.169998
39.189999,39.68,38.950001,1196600,39.48
